"bedrijfsnaam","adress","latitude","longitude","username","type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Heinrich Munderloh Automobile GmbH & Co. KG(187412)","","53.16645","8.22525","01-01-2017 / 01-06-2017: 40 orders<br>01-01-2018 / 01-06-2018: 10 orders","diagram_7_3","01-01-2017 / 01-06-2017: &euro;3586.43","01-01-2018 / 01-06-2018: &euro;1211.50","10","<svg xmlns:svg='http://www.w3.org/2000/svg' xmlns='http://www.w3.org/2000/svg' version='1.0' width='400' height='400' id='svg2' transform='rotate(-90)'><path d='M200,200  L390,200  A190,190 0 1,1 197.00996848896,10.02352853165476  z'  fill='blue' stroke='black' stroke-width='2'  fill-opacity='0.5' stroke-linejoin='round' /><path d='M200,200  L197.00996848896,10.02352853165476  A190,190 0 0,1 390,199.9999999999999  z'  fill='green' stroke='black' stroke-width='2'  fill-opacity='0.5' stroke-linejoin='round' /></svg>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHS Handels- und Betriebs GmbH(187664)","","50.67316","12.46325","01-01-2017 / 01-06-2017: 232 orders<br>01-01-2018 / 01-06-2018: 38 orders","diagram_8_2","01-01-2017 / 01-06-2017: &euro;17473.58","01-01-2018 / 01-06-2018: &euro;3226.29","38","<svg xmlns:svg='http://www.w3.org/2000/svg' xmlns='http://www.w3.org/2000/svg' version='1.0' width='400' height='400' id='svg2' transform='rotate(-90)'><path d='M200,200  L390,200  A190,190 0 1,1 305.944750413729,42.27964665341173  z'  fill='blue' stroke='black' stroke-width='2'  fill-opacity='0.5' stroke-linejoin='round' /><path d='M200,200  L305.944750413729,42.27964665341173  A190,190 0 0,1 390,199.9999999999999  z'  fill='green' stroke='black' stroke-width='2'  fill-opacity='0.5' stroke-linejoin='round' /></svg>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bleker Autoteile GmbH(191405)","","51.85483","6.89139","01-01-2017 / 01-06-2017: 2 orders<br>01-01-2018 / 01-06-2018: 1 orders","diagram_9_1","01-01-2017 / 01-06-2017: &euro;159.49","01-01-2018 / 01-06-2018: &euro;11.50","1","<svg xmlns:svg='http://www.w3.org/2000/svg' xmlns='http://www.w3.org/2000/svg' version='1.0' width='400' height='400' id='svg2' transform='rotate(-90)'><path d='M200,200  L390,200  A190,190 0 1,1 373.2865845784918,122.0785035749364  z'  fill='blue' stroke='black' stroke-width='2'  fill-opacity='0.5' stroke-linejoin='round' /><path d='M200,200  L373.2865845784918,122.0785035749364  A190,190 0 0,1 390,199.9999999999999  z'  fill='green' stroke='black' stroke-width='2'  fill-opacity='0.5' stroke-linejoin='round' /></svg>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OTS Original Teile und Service GmbH & Co. KGaA(197832)","","51.3218128","7.2603721","01-01-2017 / 01-06-2017: 11 orders<br>01-01-2018 / 01-06-2018: 0 orders","diagram_10_0","01-01-2017 / 01-06-2017: &euro;921.53","01-01-2018 / 01-06-2018: &euro;","1","<svg xmlns:svg='http://www.w3.org/2000/svg' xmlns='http://www.w3.org/2000/svg' version='1.0' width='400' height='400' id='svg2' transform='rotate(-90)'><path d='M200,200  L390,200  A190,190 0 1,1 390,199.9999999999999  z'  fill='blue' stroke='black' stroke-width='2'  fill-opacity='0.5' stroke-linejoin='round' /><path d='M200,200  L390,199.9999999999999  A190,190 0 0,1 390,199.9999999999999  z'  fill='green' stroke='black' stroke-width='2'  fill-opacity='0.5' stroke-linejoin='round' /></svg>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
